
Fri 30 Sep 00:02:59 JST 2022 : Started Monitoring
Fri 30 Sep 05:08:01 JST 2022 : Monitor is alive
Fri 30 Sep 05:13:16 JST 2022 : Monitor is alive
Fri 30 Sep 05:18:31 JST 2022 : Monitor is alive
Fri 30 Sep 05:23:46 JST 2022 : Monitor is alive
Fri 30 Sep 05:29:02 JST 2022 : Monitor is alive
Fri 30 Sep 05:34:17 JST 2022 : Monitor is alive
Fri 30 Sep 05:39:33 JST 2022 : Monitor is alive
Fri 30 Sep 05:44:48 JST 2022 : Monitor is alive
Fri 30 Sep 05:50:03 JST 2022 : Monitor is alive
Fri 30 Sep 05:55:17 JST 2022 : Monitor is alive
Fri 30 Sep 06:00:32 JST 2022 : Monitor is alive
Fri 30 Sep 06:05:46 JST 2022 : Monitor is alive
Fri 30 Sep 06:11:01 JST 2022 : Monitor is alive
Fri 30 Sep 06:16:16 JST 2022 : Monitor is alive
Fri 30 Sep 06:21:31 JST 2022 : Monitor is alive
Fri 30 Sep 06:26:45 JST 2022 : Monitor is alive
Fri 30 Sep 06:31:59 JST 2022 : Monitor is alive
Fri 30 Sep 06:37:14 JST 2022 : Monitor is alive
Fri 30 Sep 06:42:30 JST 2022 : Monitor is alive
Fri 30 Sep 06:47:45 JST 2022 : Monitor is alive
Fri 30 Sep 06:53:01 JST 2022 : Monitor is alive
Fri 30 Sep 06:58:16 JST 2022 : Monitor is alive
Fri 30 Sep 07:03:32 JST 2022 : Monitor is alive
Fri 30 Sep 07:08:47 JST 2022 : Monitor is alive
Fri 30 Sep 07:14:02 JST 2022 : Monitor is alive
Fri 30 Sep 07:19:17 JST 2022 : Monitor is alive
Fri 30 Sep 07:24:31 JST 2022 : Monitor is alive
Fri 30 Sep 07:29:46 JST 2022 : Monitor is alive
Fri 30 Sep 07:35:01 JST 2022 : Monitor is alive
Fri 30 Sep 07:40:16 JST 2022 : Monitor is alive
Fri 30 Sep 07:45:31 JST 2022 : Monitor is alive
Fri 30 Sep 07:50:46 JST 2022 : Monitor is alive
Fri 30 Sep 07:56:01 JST 2022 : Monitor is alive
Fri 30 Sep 08:01:16 JST 2022 : Monitor is alive
Fri 30 Sep 08:06:31 JST 2022 : Monitor is alive
Fri 30 Sep 08:11:45 JST 2022 : Monitor is alive
Fri 30 Sep 08:17:02 JST 2022 : Monitor is alive
Fri 30 Sep 08:22:17 JST 2022 : Monitor is alive
Fri 30 Sep 08:27:32 JST 2022 : Monitor is alive
Fri 30 Sep 08:32:47 JST 2022 : Monitor is alive
Fri 30 Sep 08:38:03 JST 2022 : Monitor is alive
Fri 30 Sep 08:43:18 JST 2022 : Monitor is alive
Fri 30 Sep 08:48:32 JST 2022 : Monitor is alive
Fri 30 Sep 08:53:46 JST 2022 : Monitor is alive
